EMPLOYEE_ID;FULL_NAME;CATEGORY;EMPLOYMENT_DATE;BIRTH_DATE;EDUCATION_LEVEL;GENDER
2;Whelply, Derrick;VP Country Manager;03/25/2002;05/30/1975;Graduate Degree;M
3;Spence, Michael;VP Country Manager;11/28/2001;02/12/1970;Graduate Degree;M
4;Gutierrez, Maya;VP Country Manager;05/18/2002;08/04/1973;Bachelors Degree;F
5;Damstra, Roberta;VP Information Systems;07/30/2002;02/04/1966;Bachelors Degree;F
6;Kanagaki, Rebecca;VP Human Resources;01/09/2004;09/20/1969;Bachelors Degree;F
7;Brunner, Kim;Store Manager;04/28/2002;02/14/1968;Bachelors Degree;F
8;Blumberg, Brenda;Store Manager;12/16/2001;11/10/1979;Graduate Degree;F
9;Stanz, Darren;VP Finance;10/05/2004;07/12/1950;Partial College;M
10;Murraiin, Jonathan;Store Manager;10/29/2002;05/13/1955;Graduate Degree;M
11;Creek, Jewel;Store Manager;09/27/2002;01/25/1977;Graduate Degree;F
12;Medina, Peggy;Store Manager;03/19/2003;06/16/1965;Bachelors Degree;F
13;Rutledge, Bryan;Store Manager;08/11/2002;01/24/1961;Bachelors Degree;M
14;Cavestany, Walter;Store Manager;01/17/2003;03/23/1970;Bachelors Degree;M
15;Planck, Peggy;Store Manager;06/30/2002;12/15/1967;Bachelors Degree;F
16;Marshall, Brenda;Store Manager;05/05/2002;02/03/1966;Partial College;F
17;Wolter, Daniel;Store Manager;02/27/2002;03/11/1953;Partial College;M
18;Collins, Dianne;Store Manager;07/26/2003;10/04/1964;Bachelors Degree;F
19;Baker, Beverly;VP Country Manager;04/28/2002;10/16/1970;Bachelors Degree;F
20;Castillo, Pedro;VP Country Manager;09/16/2001;11/18/1962;Bachelors Degree;M
21;Borges, Laurie;VP Country Manager;02/17/2002;07/22/1968;Bachelors Degree;F
22;Wyro, Shauna;Store Manager;01/21/2002;02/22/1957;Bachelors Degree;F
23;Wyllie, Jacqueline;Store Manager;11/07/2003;07/23/1954;Partial College;F
24;Conley, Lin;Store Manager;02/25/2001;05/07/1971;Graduate Degree;F
